Rank,Name,ELO,Title,FIDE_Id,Federation,Games,Birth_Year,Worth
38,Teimour Radjabov,2710,GM,13400924,Azerbaijan,1556,1987,644.6332539
39,Francisco Vallejo Pons,2710,GM,2205530,Spain,1954,1982,700.9361762
40,Zoltan Almasi,2703,GM,702293,Hungary,1798,1976,662.4670564
41,Peter Leko,2703,GM,703303,Hungary,2207,1979,713.2676398
42,Yue Wang,2701,GM,8601429,China,1238,1987,567.5440809
43,Arkadij Naiditsch,2700,GM,4650891,Azerbaijan,2023,1985,681.0333447
44,Rustam Kasimdzhanov,2698,GM,14200244,Uzbekistan,1398,1979,586.9178501
45,Richard Rapport,2698,GM,738590,Hungary,682,1996,432.3635162
46,Maxim Rodshtein,2698,GM,2806851,Israel,900,1989,488.5793124
47,Xiangzhi Bu,2697,GM,8601445,China,1315,1985,567.4697414
48,Etienne Bacrot,2696,GM,605506,France,2249,1983,691.2593115
49,Evgeny Tomashevsky,2696,GM,4147235,Russia,1194,1987,541.967431
50,Jan Krzysztof Duda,2693,GM,1170546,Poland,480,1998,350.9661617
51,Vladimir Fedoseev,2690,GM,24130737,Russia,820,1995,451.8957857
52,Rauf Mamedov,2689,GM,13401653,Azerbaijan,1385,1988,557.6964325
53,Ivan Cheparinov,2688,GM,2905540,Bulgaria,1452,1986,564.8554975
54,Anton Korobov,2688,GM,14105730,Ukraine,1358,1985,549.1074169
55,Nigel D Short,2688,GM,400025,United Kingdom,2685,1965,706.656614
56,Santosh Gujrathi Vidit,2687,GM,5029465,India,513,1994,352.2398413
57,Liviu Dieter Nisipeanu,2686,GM,1202758,Germany,1586,1976,575.1687598
58,Alexander Onischuk,2685,GM,14101025,United States,1438,1975,550.7966554
59,David W L Howell,2684,GM,410608,United Kingdom,1184,1990,507.3245744
60,Vladislav Artemiev,2682,GM,24101605,Russia,580,1998,366.1258211
61,Evgeniy Najer,2682,GM,4118987,Russia,1667,1977,572.9923697
62,Sergei Rublevsky,2682,GM,4115309,Russia,1580,1974,560.0937817
63,Sergei Movsesian,2680,GM,310204,Armenia,2265,1978,634.8442735
64,Markus Ragger,2680,GM,1610856,Austria,1294,1988,512.4444439
65,Matthew D Sadler,2680,GM,400173,United Kingdom,868,1974,433.6832171
66,Hao Wang,2680,GM,8602883,China,1208,1989,496.2100917
67,Alexander Areshchenko,2677,GM,14109530,Ukraine,1221,1986,492.1544251
68,Alexander Moiseenko,2677,GM,14102560,Ukraine,1568,1980,541.215792
69,Gata Kamsky,2676,GM,2000024,United States,1800,1974,566.9022802
70,Aleksandr Rakhmanov,2676,GM,4173708,Russia,868,1989,422.6291859
71,Samuel L Shankland,2676,GM,2004887,United States,526,1991,331.8923305
72,Ilia Smirin,2676,GM,2801990,Israel,2043,1968,589.7236991
73,Alexander Morozevich,2675,GM,4116992,Russia,1969,1977,578.2848994
74,Hua Ni,2675,GM,8601160,China,1229,1983,481.4696871
75,Robert Markus,2673,GM,921637,Serbia,1031,1983,444.2128772
76,B Adhiban,2672,GM,5018471,India,768,1992,388.9607292
77,Viktor Laznicka,2672,GM,316385,Czech Republic,1339,1988,489.1793428
78,Parimarjan Negi,2670,GM,5016690,India,794,1993,390.0810579
79,Krishnan Sasikiran,2669,GM,5004985,India,1647,1981,521.6983725
80,Bassem Amin,2668,GM,10601457,Egypt,665,1988,355.1745352
81,Laurent Fressinet,2668,GM,608742,France,2045,1981,560.7314543
82,Eltaj Safarli,2668,GM,13402129,Azerbaijan,1010,1992,424.9844501
83,Vladimir Akopian,2667,GM,13300032,Armenia,1746,1971,523.9363904
84,Evgeny Bareev,2666,GM,4100140,Canada,1818,1966,528.6747186
85,Nils Grandelius,2665,GM,1710400,Sweden,851,1993,387.8815248
86,Alexander Motylev,2665,GM,4121830,Russia,1549,1979,493.0860298
87,Alexei Shirov,2664,GM,2209390,Latvia,3116,1972,633.5816301
88,Eduardo Iturrizaga Bonelli,2663,GM,3901211,Venezuela,764,1989,364.1189828
89,Loek Van Wely,2663,GM,1000268,Netherlands,3431,1972,649.5946886
90,Alexander Ipatov,2662,GM,14116731,Turkey,664,1993,338.0312177
91,Varuzhan Akobian,2661,GM,13300580,United States,920,1983,388.8695185
92,Vadim Zvjaginsev,2661,GM,4113403,Russia,1526,1976,475.2099395
93,David Anton Guijarro,2660,GM,2285525,Spain,556,1995,304.6064613
94,Daniil Dubov,2660,GM,24126055,Russia,775,1996,356.2857076
95,Vladislav Tkachiev,2660,GM,618438,France,1492,1973,465.197444
96,Alexander Riazantsev,2659,GM,4125029,Russia,1697,1985,485.4418845
97,Boris Grachev,2658,GM,4129199,Russia,1410,1986,449.2541871
98,Igor Kovalenko,2657,GM,14117908,Latvia,806,1988,354.4390237
99,Ray Robson,2656,GM,2023970,United States,545,1994,291.8302828
100,Ferenc Berkes,2654,GM,718572,Hungary,1344,1985,430.8681943
101,Julio E Granda Zuniga,2654,GM,3800024,Peru,1502,1967,448.3656143
102,Gawain C Jones,2654,GM,409561,United Kingdom,1102,1987,395.4053561
103,Sanan Sjugirov,2654,GM,4189302,Russia,916,1993,364.8729516
104,Surya Shekhar Ganguly,2653,GM,5002150,India,1379,1983,427.966231
105,Martyn Kravtsiv,2653,GM,14113147,Ukraine,853,1990,350.2481046
106,Lazaro Bruzon Batista,2652,GM,3503739,Cuba,1357,1982,420.9388356
107,Hou Yifan,2652,GM,8602980,China,1073,1994,381.8686798
108,Jeffery Xiong,2652,GM,2047640,United States,271,0,164.8594221
109,Aleksey Dreev,2651,GM,4100107,Russia,2870,1969,548.5110596
110,Denis Khismatullin,2651,GM,4142578,Russia,1261,1984,401.7950831
111,Gabriel Sargissian,2650,GM,13300881,Armenia,1253,1983,397.9803879
112,Dariusz Swiercz,2649,GM,1126881,Poland,868,1994,339.5568939
113,Andrei Volokitin,2649,GM,14107090,Ukraine,1365,1986,407.1863977
114,Zahar Efimenko,2648,GM,14107201,Ukraine,1347,1985,402.1952814
115,Sandro Mareco,2648,GM,112275,Argentina,703,1987,304.3908264
116,Daniel Naroditsky,2647,GM,2026961,United States,408,1995,225.1416543
117,Axel Bachmann,2646,GM,3700488,Paraguay,527,1989,259.8901365
118,Emil Sutovsky,2646,GM,2802007,Israel,1612,1977,421.5201894
119,Emilio Cordova,2645,GM,3801497,Peru,744,1991,304.4650081
120,Gadir Guseinov,2645,GM,13401378,Azerbaijan,882,1986,326.9562176
121,Luke J McShane,2644,GM,404853,United Kingdom,1276,1984,377.7921305
122,Anton Kovalyov,2643,GM,114987,Canada,476,1992,238.2410333
123,Igor Lysyj,2643,GM,4150120,Russia,939,1987,329.4206754
124,Sergei Zhigalko,2643,GM,13502956,Belarus,1181,1989,360.4882252
125,Aleksandr Shimanov,2642,GM,4198603,Russia,833,1992,309.1215569
126,Kiril Georgiev,2641,GM,2900017,Bulgaria,2371,1965,462.5757965
127,Luka Lenic,2641,GM,14603853,Slovenia,1006,1988,330.9772401
128,Dragan Solak,2641,GM,916811,Turkey,1250,1980,359.843169
129,Victor Bologan,2640,GM,13900048,Moldova,2421,1971,458.2705121
130,Romain Edouard,2640,GM,633429,France,1135,1990,341.8625659
131,Dmitry Kokarev,2640,GM,4132181,Russia,789,1982,291.6750894
132,Tamir Nabaty,2640,GM,2809052,Israel,377,1991,194.4325687
133,Peter Heine Nielsen,2639,GM,1400355,Denmark,1874,1973,407.8201705
134,Ivan Ivanisevic,2638,GM,912417,Serbia,1529,1977,374.5123923
135,Ioannis Papaioannou,2638,GM,4201345,Greece,639,1976,257.5940042
136,Kacper Piorun,2638,GM,1130420,Poland,601,1991,248.667393
137,Robin Van Kampen,2638,GM,1020854,Netherlands,498,1994,224.0775484
138,Mateusz Bartel,2637,GM,1112635,Poland,1557,1985,368.2352973
139,Jan Gustafsson,2637,GM,4625498,Germany,1422,1979,353.7036828
140,Yuriy Kuzubov,2637,GM,14112906,Ukraine,952,1990,299.2272733
141,Qun Ma,2637,GM,8603154,China,228,1991,99.36994371
142,Andriy Vovk,2637,GM,14114470,Ukraine,414,1991,194.6437867
143,Csaba Balogh,2636,GM,718939,Hungary,1662,1987,366.0126456
144,Mykhaylo Oleksiyenko,2636,GM,4152417,Ukraine,690,1986,252.7714076
145,Evgeny Romanov,2636,GM,4148843,Russia,1148,1988,313.1144351
146,Zhong Zhang,2636,GM,8600694,Singapore,892,1978,280.2381321
147,Grzegorz Gajewski,2634,GM,1116207,Poland,987,1985,288.8008735
148,Boris Savchenko,2634,GM,4147332,Russia,1271,1986,318.0515028
149,AR Saleh Salem,2633,GM,9301348,United Arab Emirates,633,1993,232.9119493
150,S.P. Sethuraman,2633,GM,5021596,India,749,1993,250.4622035
151,Farrukh Amonatov,2632,GM,14700077,Tajikistan,750,1978,248.1368548
152,Matthias Bluebaum,2632,GM,24651516,Germany,531,1997,208.0918477
153,Ngoc Truong Son Nguyen,2632,GM,12401110,Viet Nam,803,1990,252.4061263
154,Yaroslav Zherebukh,2632,GM,14116804,United States,566,1993,212.2136701
155,Constantin Lupulescu,2631,GM,1207822,Romania,1024,1984,275.2291368
156,Vasif Durarbayli,2630,GM,13402935,Azerbaijan,325,1992,145.2309754
157,Georg Meier,2630,GM,4675789,Germany,940,1987,260.7633454
158,Yuniesky Quesada Perez,2630,GM,3504409,Cuba,649,1984,219.0735828
159,Mustafa Yilmaz,2630,GM,6302718,Turkey,526,1992,195.3622772
160,Anton Demchenko,2629,GM,4160258,Russia,376,1987,157.2785893
161,Vladislav Kovalev,2629,GM,13504398,Belarus,561,1994,198.1952133
162,Ivan Sokolov,2629,GM,14400030,Netherlands,2673,1968,373.2504484
163,Christian Bauer,2627,GM,603767,France,1814,1977,318.8388075
164,Michal Krasenkow,2627,GM,1113100,Poland,2199,1963,339.3753592
165,Ivan Salgado Lopez,2627,GM,2257327,Spain,805,1991,225.7848299
166,Tigran Gharamian,2626,GM,13301527,France,593,1984,193.0699499
167,Abhijeet Gupta,2626,GM,5010608,India,954,1989,237.5989807
168,Rinat Jumabayev,2625,GM,13702661,Kazakhstan,575,1989,185.7641508
169,Anatoly Karpov,2624,GM,4100026,Russia,3681,1951,385.1387261
170,Ildar Khairullin,2624,GM,4151348,Russia,1058,1990,238.9363268
171,Mikhail Kobalia,2624,GM,4119150,Russia,735,1978,201.9098632
172,Zaven Andriasian,2622,GM,13302000,Armenia,812,1989,207.4055463
173,Sergey A Fedorchuk,2621,GM,14102536,Ukraine,1424,1981,257.41631
174,Jon Ludvig Hammer,2621,GM,1503707,Norway,832,1990,204.0249085
175,Robert Hovhannisyan,2621,GM,13302507,Armenia,471,1991,151.9277562
176,Ahmed Adly,2619,GM,10601619,Egypt,644,1987,175.6043516
177,Shanglei Lu,2619,GM,8603332,China,549,1995,159.8722807
178,Sebastien Maze,2619,GM,613762,France,1042,1984,211.4012691
179,Borki Predojevic,2619,GM,930849,Bosnia And Herzegovina,931,1987,198.7044684
180,Jun Zhao,2619,GM,8602522,China,547,1986,152.6196796
181,Imre Jr Hera,2618,GM,716855,Hungary,661,0,164.5218583
182,Rafael Leitao,2618,GM,2101246,Brazil,1165,1979,206.8903674
183,Kamil Miton,2618,GM,1111914,Poland,1113,1984,199.4777191
184,Ivan Popov,2618,GM,4170350,Russia,852,1990,174.9358442
185,Ivan Saric,2618,GM,14508150,Croatia,1094,1990,190.4579622
186,Alexander Khalifman,2617,GM,4100115,Russia,2115,1966,239.4890513
187,Zdenko Kozul,2617,GM,14502879,Croatia,2464,1966,247.476408
188,Sergey Volkov,2617,GM,4122763,Russia,1796,1974,214.8775602
189,Jianchao Zhou,2617,GM,8603537,China,793,1988,150.4103185
190,Tamas Banusz,2616,GM,722413,Hungary,892,1989,153.3148642
191,Timur Gareyev,2616,GM,14200937,United States,333,1988,85.71073444
192,Jacek Tomczak,2615,GM,1124668,Poland,441,1990,100.5518824
193,Kamil Dragun,2614,GM,1134167,Poland,439,1995,96.09158027
194,Viktor Erdos,2614,GM,719978,Hungary,1095,1987,142.7237993
195,Eric Hansen,2614,GM,2606771,Canada,438,1992,87.18306014
196,Igors Rausis,2614,GM,11600098,Czech Republic,1700,1961,151.5455288
197,Dmitry Kononenko,2613,GM,14113007,Ukraine,299,1988,56.66394231
198,Erwin L'Ami,2613,GM,1007998,Netherlands,760,1985,91.73001938
199,Hrant Melkumyan,2613,GM,13302485,Armenia,719,1989,78.12814432
200,Zbynek Hracek,2612,GM,300071,Czech Republic,1871,1970,91.26121079
